sentence,skill,label,split,notes
"No Power BI dashboards were created by me.","Power BI",negated,train,"no dashboards"
"I have not used Tableau.","Tableau",negated,train,"not used"
"I do not have Linux administration experience.","Linux",negated,train,"do not have"
"I have not written Bash scripts.","Bash",negated,train,"not written"
"I did not use CI/CD pipelines in that role.","CI/CD",negated,train,"did not use"
"I have never used GitHub Actions.","GitHub Actions",negated,train,"never used"
"I did not work with PostgreSQL.","PostgreSQL",negated,train,"did not work"
"I do not have MySQL experience.","MySQL",negated,train,"do not have"
"I have not maintained SQL Server systems.","Microsoft SQL Server",negated,train,"not maintained"
"I have no Java experience.","Java",negated,train,"no experience"
"I have not worked with Spring Boot.","Spring Boot",negated,train,"not worked"
"I do not have Node.js production experience.","Node.js",negated,train,"do not have"
"I have not developed Django applications.","Django",negated,train,"not developed"
"I have not built Flask APIs.","Flask",negated,train,"not built"
"I do not have FastAPI experience yet.","FastAPI",negated,train,"do not have"
"I have never designed microservices.","Microservices",negated,train,"never designed"
"I did not write REST APIs in my internship.","REST API",negated,train,"did not write"
"I have not performed statistical analysis.","Statistics",negated,train,"not performed"
"I did not use scikit-learn.","Scikit-learn",negated,train,"did not use"
"I have no experience with Hugging Face transformers.","Hugging Face",negated,train,"no experience"
"I have not done data engineering work.","Data Engineering",negated,train,"not done"
"I did not perform data analysis in that position.","Data Analysis",negated,train,"did not perform"
"I have not used Docker containers at work.","Docker",negated,train,"not used"
"No AWS deployment experience is included in my CV.","AWS",negated,validation,"no deployment experience"
"I have not managed Kubernetes clusters.","Kubernetes",negated,validation,"not managed"
"I never built Airflow DAGs.","Airflow",negated,validation,"never built"
"I do not have Kafka experience.","Kafka",negated,validation,"do not have"
"I have not configured GitHub Actions workflows.","GitHub Actions",negated,validation,"not configured"
"I did not use Terraform for infrastructure.","Terraform",negated,validation,"did not use"
"I have no hands-on Docker experience.","Docker",negated,test,"no hands-on"
"I have not deployed applications to AWS.","AWS",negated,test,"not deployed"
"I do not know Kubernetes.","Kubernetes",negated,test,"do not know"
"I have never worked with Airflow.","Airflow",negated,test,"never worked"
"I did not use CI/CD tools.","CI/CD",negated,test,"did not use"
"I have not written Kafka consumers.","Kafka",negated,test,"not written"
"I am currently learning AWS through online courses.","AWS",unclear,train,"learning is not evidence"
"I am interested in Docker but have not used it at work.","Docker",unclear,train,"interest only"
"I have basic exposure to Kubernetes concepts.","Kubernetes",unclear,train,"exposure only"
"I read documentation about Airflow DAGs.","Airflow",unclear,train,"reading only"
"I would like to work with Kafka in my next role.","Kafka",unclear,train,"future interest"
"I attended a Jenkins webinar.","Jenkins",unclear,train,"attendance only"
"I am familiar with Terraform terminology.","Terraform",unclear,train,"terminology only"
"I have seen Azure used by another team.","Azure",unclear,train,"observed only"
"I completed a beginner Google Cloud tutorial.","Google Cloud",unclear,train,"tutorial only"
"I am learning React in my free time.","React",unclear,train,"learning only"
"I have some awareness of TypeScript.","TypeScript",unclear,train,"awareness only"
"I want to improve my GraphQL knowledge.","GraphQL",unclear,train,"future intent"
"I briefly reviewed MongoDB examples.","MongoDB",unclear,train,"review only"
"I know Redis is used for caching.","Redis",unclear,train,"concept knowledge"
"I am curious about Elasticsearch.","Elasticsearch",unclear,train,"curiosity only"
"I studied Spark in a university course.","Spark",unclear,train,"course only"
"I learned about Hadoop architecture in class.","Hadoop",unclear,train,"class only"
"I am interested in machine learning.","Machine Learning",unclear,train,"interest only"
"I have read about BERT models.","BERT",unclear,train,"reading only"
"I understand the idea of transformer models.","Transformer Models",unclear,train,"concept only"
"I have watched PyTorch tutorials.","PyTorch",unclear,train,"tutorial only"
"I plan to learn TensorFlow.","TensorFlow",unclear,train,"plan only"
"I have viewed Power BI dashboards created by analysts.","Power BI",unclear,train,"viewed not created"
"I have explored Tableau sample reports.","Tableau",unclear,train,"sample only"
"I can navigate Linux basics but have not administered servers.","Linux",unclear,train,"basic familiarity"
"I know what Bash scripts are.","Bash",unclear,train,"concept knowledge"
"I have participated in meetings about CI/CD.","CI/CD",unclear,train,"meeting only"
"I observed GitHub Actions workflows maintained by DevOps.","GitHub Actions",unclear,train,"observed only"
"I have used applications backed by PostgreSQL.","PostgreSQL",unclear,train,"indirect usage"
"I learned MySQL syntax in a course.","MySQL",unclear,train,"course only"
"I have seen SQL Server reports.","Microsoft SQL Server",unclear,train,"indirect exposure"
"I studied Java during university.","Java",unclear,train,"study only"
"I know Spring Boot is used for Java services.","Spring Boot",unclear,train,"concept only"
"I have experimented with Node.js tutorials.","Node.js",unclear,train,"tutorial only"
"I followed a Django tutorial once.","Django",unclear,train,"tutorial only"
"I have read Flask documentation.","Flask",unclear,train,"reading only"
"I am learning FastAPI.","FastAPI",unclear,train,"learning only"
"I understand microservices at a high level.","Microservices",unclear,train,"high level"
"I have consumed REST APIs but not built them.","REST API",unclear,train,"not built"
"I took a statistics course.","Statistics",unclear,train,"course only"
"I have looked at scikit-learn examples.","Scikit-learn",unclear,train,"examples only"
"I follow Hugging Face model releases.","Hugging Face",unclear,train,"following only"
"I am interested in data engineering roles.","Data Engineering",unclear,train,"interest only"
"I supported reports created by the data analysis team.","Data Analysis",unclear,train,"indirect support"
"I want to learn Docker for deployment.","Docker",unclear,train,"future learning"
"I have basic familiarity with AWS services.","AWS",unclear,validation,"basic familiarity"
"I attended Kubernetes training but have not used it.","Kubernetes",unclear,validation,"training only"
"I know Airflow schedules workflows conceptually.","Airflow",unclear,validation,"concept only"
"I am interested in Kafka event streaming.","Kafka",unclear,validation,"interest only"
"I have seen CI/CD dashboards maintained by another team.","CI/CD",unclear,validation,"observed only"
"I completed a Terraform introduction course.","Terraform",unclear,validation,"course only"
"I am learning Docker from tutorials.","Docker",unclear,test,"learning only"
"I know AWS basics from certification study.","AWS",unclear,test,"study only"
"I have read about Kubernetes deployments.","Kubernetes",unclear,test,"reading only"
"I want to gain Airflow experience.","Airflow",unclear,test,"future intent"
"I have only theoretical knowledge of CI/CD.","CI/CD",unclear,test,"theoretical only"
"I am interested in Kafka but have no project experience.","Kafka",unclear,test,"interest without project"
"I have not used Ansible for configuration management.","Ansible",negated,train,"not used"
"I do not have Oracle Database administration experience.","Oracle Database",negated,train,"do not have"
"I have never written PHP applications.","PHP",negated,train,"never written"
"I am interested in learning Ansible.","Ansible",unclear,train,"interest only"
"I know Oracle Database is used in enterprise systems.","Oracle Database",unclear,train,"concept knowledge"
"I completed a short PHP tutorial.","PHP",unclear,train,"tutorial only"
"I built APIs with Python.","Python",positive,train,"direct first person evidence"
"I used AWS for production deployments.","AWS",positive,train,"direct first person evidence"
"I managed Kubernetes deployments.","Kubernetes",positive,train,"direct first person evidence"
"I do not have Python experience.","Python",negated,train,"direct first person negation"
"I have not used AWS for deployments.","AWS",negated,train,"direct first person negation"
"I did not manage Kubernetes clusters.","Kubernetes",negated,train,"direct first person negation"
"I am learning Python.","Python",unclear,train,"learning only"
"I have basic awareness of AWS.","AWS",unclear,train,"awareness only"
"I am interested in Kubernetes.","Kubernetes",unclear,train,"interest only"
"I have experience with Python but I do not have AWS experience.","Python",positive,train,"mixed sentence positive target"
"I have experience with Python but I do not have AWS experience.","AWS",negated,train,"mixed sentence negated target"
"I use Docker but I am learning Kubernetes.","Docker",positive,train,"mixed sentence positive target"
"I use Docker but I am learning Kubernetes.","Kubernetes",unclear,train,"mixed sentence unclear target"
"I write SQL queries but have not used Airflow.","SQL",positive,train,"mixed sentence positive target"
"I write SQL queries but have not used Airflow.","Airflow",negated,train,"mixed sentence negated target"
"I use Git daily but I am interested in GraphQL.","Git",positive,train,"mixed sentence positive target"
"I use Git daily but I am interested in GraphQL.","GraphQL",unclear,train,"mixed sentence unclear target"
"I have not used Kafka but I am learning Terraform.","Kafka",negated,train,"mixed sentence negated target"
"I have not used Kafka but I am learning Terraform.","Terraform",unclear,train,"mixed sentence unclear target"
"I do not have React experience but I have basic awareness of Azure.","React",negated,train,"mixed sentence negated target"
"I do not have React experience but I have basic awareness of Azure.","Azure",unclear,train,"mixed sentence unclear target"
